marital,education,housing,loan,age,balance,duration
2,2,1,0,59,0,52
2,1,1,0,39,952,62
1,1,0,1,26,370,1061
1,1,0,1,57,253,230
1,1,0,0,49,0,159
0,1,1,1,48,312,369
1,0,1,1,39,4146,353
1,1,1,0,36,402,482
0,1,1,1,23,1690,163
0,1,1,0,27,2486,733
2,0,1,0,45,6,159
2,1,1,1,30,1320,122
0,1,0,0,28,126,321
1,1,1,0,33,30,125
0,1,1,0,29,426,121
1,0,1,0,39,-197,204
1,1,0,0,32,1547,289
0,1,1,0,31,11639,1191
1,2,0,0,31,1216,150
1,1,1,0,42,705,52
1,1,1,0,34,0,154
1,0,0,0,50,604,104
1,1,1,1,35,0,17
0,2,0,0,36,490,207
0,0,1,0,31,3466,267
1,1,1,1,39,18,155
0,1,0,0,38,46,90
1,2,1,0,38,0,571
1,1,0,0,36,110,80
2,1,1,0,36,107,134
0,1,0,0,48,3458,292
1,1,1,1,50,7907,363
0,2,1,1,32,7641,39
0,1,1,0,37,-196,207
0,1,1,0,29,-218,73
1,1,0,0,45,2403,147
1,1,0,0,36,227,294
1,0,1,0,37,242,161
1,2,0,0,44,0,43
1,2,0,0,56,154,454
0,1,0,0,36,1745,258
0,0,1,0,39,109,699
1,1,0,1,55,303,261
1,0,1,0,36,177,63
1,1,1,0,31,263,150
1,2,1,1,34,412,164
0,2,1,0,25,931,263
1,1,1,0,35,1454,19
1,1,1,0,35,10,314
2,0,1,0,47,556,227
1,2,0,1,64,2059,326
0,2,0,0,30,424,298
0,1,0,0,26,611,138
0,2,1,0,41,416,1476
1,2,1,0,41,472,783
1,1,0,0,45,2433,81
0,1,1,0,26,124,57
0,2,0,0,27,451,112
2,1,0,0,59,7469,68
1,1,1,0,34,763,99
2,2,1,1,32,745,11
1,2,0,0,33,1636,8
2,1,1,0,28,9,306
1,2,1,1,45,1447,461
0,2,1,1,31,1657,872
1,0,1,0,56,31,215
1,2,0,0,34,127,117
1,1,0,0,30,0,86
1,1,0,0,60,546,428
1,0,0,0,36,22856,1098
1,1,1,0,40,299,180
0,2,0,0,34,1190,18
0,0,0,0,34,2299,320
1,0,0,0,36,622,55
1,1,1,1,51,196,88
0,1,0,0,25,505,284
1,1,1,0,28,655,179
0,1,0,0,26,255,209
1,2,1,0,34,1703,153
1,1,1,0,44,8938,94
1,1,0,0,42,13242,149
0,0,1,0,30,411,457
1,2,1,0,47,192,596
1,1,0,0,52,7225,205
0,0,0,0,19,56,246
1,0,1,0,47,554,69
1,0,1,1,34,7468,383
1,0,0,0,46,2093,128
0,1,1,0,40,277,274
0,1,1,1,59,671,157
0,0,0,0,44,4,163
1,1,1,0,31,338,155
2,1,0,0,34,675,81
0,2,1,0,30,4319,144
1,1,1,0,50,42,85
1,1,1,0,36,1006,89
1,1,0,0,53,1796,476
0,2,0,0,31,0,173
1,1,1,0,31,2304,257
1,0,1,0,43,2605,347
0,2,0,1,26,531,57
0,1,0,1,30,-62,117
1,1,0,0,51,13089,247
1,0,0,0,60,887,95
0,2,0,0,29,579,296
1,1,1,0,44,138,283
1,0,1,0,33,332,116
0,1,0,0,29,3528,104
2,1,0,0,63,4680,953
1,1,0,0,44,192,232
1,1,1,1,47,802,289
1,2,1,1,48,14530,863
1,0,1,0,50,12519,615
0,1,0,1,37,5024,661
1,2,1,1,59,138,106
0,2,1,0,31,4561,301
1,2,0,0,35,4,157
1,2,1,0,48,666,317
1,1,1,0,37,147,25
1,1,0,0,32,5,269
1,2,0,0,52,994,127
1,0,1,1,26,-683,446
1,2,0,0,38,0,119
0,2,1,0,29,48,164
0,2,1,0,32,12686,176
1,1,0,0,37,2442,97
1,1,0,0,35,2779,182
0,1,1,0,44,733,360
0,2,0,0,39,0,389
1,1,0,0,44,5597,27
1,1,1,0,38,424,279
1,1,1,0,35,274,190
1,0,1,0,60,5798,58
1,2,1,0,57,-22,463
2,0,1,0,54,190,196
0,1,0,0,31,3528,132
2,2,1,0,36,1023,189
1,1,0,0,44,205,289
0,2,1,0,35,-292,166
1,1,1,0,37,332,342
1,0,1,0,44,194,105
1,1,1,0,36,7579,600
1,1,1,1,35,0,113
0,1,1,0,32,187,315
1,0,1,0,47,117,113
0,2,1,0,34,1717,269
0,2,1,0,33,94,955
1,2,0,0,33,300,70
1,0,1,0,38,2407,218
1,2,0,0,61,10861,225
1,2,0,0,39,397,113
1,2,0,0,33,4636,129
1,1,1,0,36,0,52
1,0,0,0,46,575,127
0,2,0,0,30,1159,95
2,1,1,1,40,5766,385
1,1,1,0,53,849,3102
1,1,0,0,43,5233,108
0,0,1,0,54,199,532
1,2,0,0,31,10088,72
1,0,0,0,67,10776,176
1,2,1,1,39,568,206
2,2,1,0,35,1555,26
0,1,1,0,49,1202,122
2,1,1,0,45,1269,549
1,1,0,0,60,-240,152
1,1,0,0,56,2409,173
1,1,0,0,56,334,101
1,1,1,0,45,-158,91
1,1,1,0,38,-323,250
2,1,0,0,41,1232,217
1,0,1,0,50,490,151
1,0,1,0,42,969,721
0,1,1,1,30,80,145
1,0,1,0,32,0,295
0,2,1,0,31,4319,153
0,2,1,0,31,144,676
1,1,1,0,45,398,227
1,1,1,0,37,117,52
1,1,1,0,31,492,99
0,1,1,1,37,3049,153
2,0,1,1,51,155,220
1,1,1,0,36,165,456
1,2,1,0,34,-123,64
1,0,0,0,59,8334,141
1,2,0,0,57,138,157
1,0,1,1,30,1,80
0,2,1,0,31,0,94
1,1,0,0,39,5562,149
0,1,0,1,34,10,162
1,2,1,0,49,603,590
1,1,1,0,36,7449,187
1,1,0,0,59,56,396
0,1,0,1,35,2110,39
1,1,1,0,39,49,379
1,2,0,0,36,98,146
1,2,0,0,56,52,191
1,1,1,1,51,495,154
0,1,1,0,36,45,131
2,1,0,0,44,653,475
1,0,0,0,56,13,240
2,2,1,0,54,26306,27
1,1,0,1,51,272,217
0,1,0,0,36,376,479
1,0,0,0,52,425,122
1,1,0,0,50,26394,206
1,0,1,0,45,626,68
1,0,1,0,47,1675,38
0,2,0,0,38,3141,347
0,2,1,0,32,1345,289
0,2,1,0,37,427,121
1,1,0,0,39,116,554
1,0,1,0,29,79,22
1,1,1,1,45,784,34
1,1,1,0,42,43,735
1,2,1,0,32,3850,63
1,0,1,0,39,592,222
1,1,0,0,44,0,113
1,1,1,0,38,797,62
0,0,0,1,37,5473,198
1,2,1,0,31,22546,8
0,2,1,0,39,1132,216
1,1,0,1,37,7433,630
2,1,1,0,37,904,507
2,2,0,0,52,0,335
0,2,1,0,43,27733,164
1,1,1,0,33,355,87
1,2,0,0,54,184,13
1,2,0,0,61,4162,185
2,2,1,0,47,17964,165
0,1,0,0,36,475,141
1,1,1,0,39,104,138
1,2,1,0,38,5669,31
2,1,1,0,34,124,56
1,0,1,0,35,102,1334
1,2,0,0,48,1147,155
0,1,0,0,28,6551,97
1,1,1,0,35,1055,261
0,2,0,0,26,8303,143
1,1,1,0,36,1024,111
0,1,1,0,37,-274,218
0,1,0,0,38,4359,170
1,2,1,0,35,14232,372
0,2,1,0,33,474,62
1,1,0,0,58,169,336
1,1,0,0,60,2060,135
0,2,0,0,26,294,87
1,1,0,0,66,995,131
1,1,1,0,44,1340,244
1,0,0,1,31,979,298
1,0,1,0,41,3658,268
0,1,0,0,27,771,181
1,1,1,0,50,2420,102
1,0,0,0,52,547,33
0,2,1,0,33,6281,1057
2,1,0,0,35,80,67
2,1,1,0,33,558,258
2,2,1,0,54,2682,334
0,1,1,0,28,1849,204
2,1,0,0,37,2686,144
0,1,1,1,36,398,77
0,2,0,0,30,0,71
2,1,0,1,35,183,12
1,2,0,0,53,15,921
1,1,1,0,34,428,221
1,2,0,0,32,0,198
1,0,1,0,29,519,120
1,1,1,0,32,253,257
1,1,1,0,33,241,1108
1,1,0,1,34,283,199
1,1,1,0,45,524,808
1,2,0,0,70,15834,172
1,1,1,1,30,3653,167
0,1,1,0,31,360,309
1,2,0,1,56,217,121
1,2,0,0,65,1097,131
1,1,1,1,35,1035,274
0,1,0,0,31,46,313
1,2,0,0,43,79,640
0,1,0,0,42,419,88
1,0,1,0,45,627,271
2,1,1,0,57,1878,219
1,1,1,0,28,1180,637
0,2,1,0,29,13,26
1,1,1,0,28,143,44
0,2,0,0,29,261,136
1,1,1,0,37,1818,273
0,2,0,0,23,780,393
1,1,0,0,31,111,504
1,2,1,0,31,1400,175
0,0,0,1,26,16,249
1,1,1,0,52,517,180
2,2,1,0,53,0,119
1,1,0,0,52,-33,257
1,0,0,0,35,8127,315
0,1,1,0,39,835,587
1,0,0,0,45,512,98
2,2,0,0,41,3426,302
0,1,0,0,53,5715,287
1,2,0,0,56,616,225
0,1,1,0,31,81,215
0,2,0,0,34,280,119
1,2,0,0,56,1663,22
0,1,0,0,26,125,92
1,2,0,0,53,1343,129
2,1,0,0,45,0,422
1,1,1,0,34,6324,190
1,1,1,0,41,546,418
2,1,1,0,40,952,126
0,2,0,0,32,2915,519
0,2,1,0,28,0,150
1,0,1,0,41,1905,164
1,2,0,0,30,2694,192
1,2,1,0,28,12,202
1,1,0,0,59,0,363
2,2,0,1,59,844,100
1,2,0,0,57,256,227
0,1,0,0,26,2469,406
0,2,0,0,32,1732,140
1,1,1,0,36,98,415
0,0,1,0,23,3198,224
2,1,1,0,42,3780,104
0,1,0,0,34,1313,427
1,0,0,0,32,5511,408
1,1,0,0,52,386,438
1,1,1,1,34,295,64
1,1,1,1,49,6758,67
0,2,0,0,26,15161,280
1,2,0,0,75,6027,1248
1,2,0,0,35,8,93
1,1,0,0,39,564,86
2,1,1,0,30,167,237
0,2,1,0,50,1300,379
2,2,1,0,38,4425,162
1,1,1,1,44,274,409
0,2,0,0,48,505,320
1,1,1,0,35,327,537
1,0,0,0,73,542,107
0,0,1,0,47,159,7
1,1,0,0,66,2048,212
1,2,1,0,39,93,65
0,2,1,0,31,0,76
2,2,1,0,54,29887,865
1,1,0,1,40,-240,160
0,1,1,0,41,-277,431
1,0,1,0,42,91,87
1,2,0,1,53,2094,95
0,1,0,0,32,5,105
1,1,0,0,41,1309,28
0,1,1,0,44,1059,286
0,2,1,0,32,739,266
2,1,1,0,36,3,15
1,1,1,1,37,-57,55
0,2,1,0,24,454,139
0,1,0,0,46,526,523
2,1,1,1,53,8112,64
1,1,1,0,34,246,532
1,1,1,0,36,8114,505
0,1,1,0,39,277,20
1,1,0,1,50,1857,26
0,1,1,0,33,802,47
1,1,0,0,44,7649,188
1,0,0,0,42,2636,178
1,0,1,1,30,1101,779
1,1,0,1,52,32,103
0,1,0,0,48,-269,167
0,1,1,0,25,0,135
1,2,0,0,32,1,449
0,2,0,0,33,68,96
2,2,0,0,33,348,71
0,1,1,0,37,240,246
1,2,0,0,44,7818,412
1,0,1,0,53,574,121
1,1,0,0,37,58,75
1,2,1,0,40,0,383
1,1,0,0,30,482,86
1,2,1,1,54,2883,12
1,1,1,0,28,0,245
0,1,1,0,28,168,128
0,2,1,0,31,874,98
0,1,0,0,39,935,78
0,2,1,0,48,336,17
1,2,0,0,36,336,178
1,1,1,0,22,223,268
1,2,1,0,32,713,76
1,2,1,0,37,9895,352
0,1,1,1,36,2962,181
1,1,0,0,48,0,35
1,2,0,0,53,1961,351
1,2,1,0,52,2428,61
1,0,1,0,34,1042,167
1,1,1,0,31,897,26
1,0,0,0,36,-79,159
0,1,0,0,25,938,1048
1,1,0,0,65,587,223
1,1,0,0,50,5361,276
1,1,1,0,41,359,210
1,1,1,0,37,0,208
1,1,1,1,32,-292,301
2,1,1,0,46,984,181
1,2,1,0,37,0,115
1,2,1,0,45,523,849
1,0,1,0,38,0,29
1,2,1,0,31,732,542
1,1,1,0,53,3036,104
1,2,0,0,39,481,929
0,2,0,0,32,700,90
1,2,1,1,50,19447,166
1,1,0,1,34,855,616
1,0,1,0,32,159,207
1,2,1,0,32,2976,88
2,1,0,0,43,0,192
1,1,0,0,57,262,276
1,2,0,0,60,614,50
1,0,0,0,77,680,103
2,0,1,0,41,2195,211
0,2,0,1,38,8953,301
1,2,1,0,45,40,81
1,1,1,0,48,578,70
1,0,1,1,31,55,340
1,0,0,0,57,3498,210
1,1,1,0,28,169,245
1,1,0,0,41,176,196
1,1,0,0,41,640,169
1,1,0,0,41,80,202
1,0,1,0,43,0,81
0,2,0,0,27,831,1081
1,1,0,0,46,0,155
2,1,0,0,50,81,746
0,1,1,0,57,806,77
2,2,1,0,52,10653,336
1,0,1,0,44,12,408
1,2,1,0,33,806,124
1,1,1,0,32,782,116
1,2,1,1,52,2801,311
0,2,1,0,54,5417,376
1,0,1,0,32,217,169
1,1,1,0,54,0,387
1,1,1,0,31,141,140
1,0,1,1,40,-158,59
0,2,1,0,33,417,170
2,1,0,0,35,30,186
0,2,0,0,32,2360,11
2,2,0,0,56,505,108
0,1,1,0,45,1171,34
1,1,0,0,35,-50,71
1,1,1,0,39,7313,99
0,1,1,0,40,2040,906
1,2,1,0,56,1631,376
1,1,0,0,55,3919,26
0,1,0,0,31,31868,34
1,2,1,0,34,179,184
1,1,1,0,26,-16,1036
0,1,0,1,25,1243,1341
1,1,1,1,45,146,294
1,0,1,0,53,5098,155
1,2,1,0,32,3,22
1,1,0,0,52,557,111
0,2,1,0,33,9135,80
2,2,1,0,42,357,39
2,1,0,0,37,1082,127
0,1,1,0,38,435,437
0,2,1,0,32,4,311
1,1,0,0,45,222,119
0,1,0,1,32,314,91
1,1,1,0,36,0,456
2,1,0,1,54,43,289
1,1,1,0,37,407,141
1,1,1,0,38,557,1556
1,0,0,0,39,1014,261
1,0,0,0,43,60,487
2,0,1,0,45,888,63
1,1,0,0,46,3999,202
1,1,1,0,54,324,51
0,2,0,0,39,2103,588
1,1,0,1,45,1134,102
0,1,1,1,27,4,490
1,2,1,0,46,675,50
0,1,0,0,29,566,127
0,2,1,1,34,125,18
0,2,1,0,28,1107,144
2,1,1,0,39,130,14
1,1,0,0,52,659,113
0,1,0,0,28,3,40
0,1,1,0,37,2544,120
0,1,1,1,31,148,232
2,2,1,0,52,1988,88
1,2,0,0,62,10373,344
0,0,1,0,43,181,174
1,1,1,1,30,-43,79
0,2,0,0,31,10215,139
0,2,1,0,49,228,407
0,1,0,1,52,1262,216
1,1,1,0,56,339,251
0,0,1,0,50,181,119
0,1,0,1,25,-2,273
1,0,1,0,35,443,185
1,1,1,0,39,2612,363
2,2,0,0,57,96,913
2,1,1,0,37,625,68
0,2,0,0,45,88,163
1,2,0,0,35,787,49
1,0,0,0,50,334,79
2,1,1,0,34,479,515
1,0,1,0,46,143,279
0,1,0,0,26,119,247
2,1,1,1,53,28,673
2,1,1,0,36,1573,17
1,1,0,1,34,223,103
2,2,1,0,53,627,102
1,2,0,0,36,9,386
0,2,0,0,49,7443,35
0,2,0,0,68,2144,277
1,1,0,1,54,0,156
1,1,0,0,41,0,85
2,0,1,0,56,0,313
2,1,1,1,44,608,19
1,2,0,0,52,-2,245
1,1,0,1,53,2774,193
1,2,0,1,55,197,256
1,2,1,0,37,-666,204
1,1,1,1,49,-199,385
1,0,1,0,55,-1217,242
0,1,1,0,31,-423,103
1,2,0,0,45,1874,207
2,1,0,0,36,8267,321
0,1,1,0,28,378,346
1,2,0,0,56,2925,133
0,1,1,0,41,30,211
0,1,1,0,38,334,541
1,0,1,0,33,61,161
0,2,0,0,28,1808,309
1,2,1,0,30,1882,249
1,1,1,0,51,1414,422
1,2,0,0,31,271,89
0,1,1,0,21,325,467
0,1,1,0,54,3611,81
0,2,1,0,30,542,435
0,1,1,0,46,897,82
1,1,1,0,31,157,285
0,1,1,1,29,163,803
0,2,1,0,29,368,160
0,2,0,0,34,436,312
0,2,0,0,35,5462,188
2,0,1,0,53,255,134
0,2,0,0,30,254,202
1,1,1,0,45,-407,320
1,1,1,0,58,1604,358
1,1,0,0,51,3984,7
1,0,0,0,32,3083,271
1,2,0,0,38,106,124
0,1,1,0,35,206,144
1,1,1,0,57,1078,10
0,1,1,0,31,507,65
1,1,1,1,32,-460,131
2,1,1,0,36,3102,188
1,1,0,0,38,196,252
0,1,0,1,26,-35,304
0,2,0,0,30,1289,489
2,1,0,0,30,2403,132
1,2,0,0,49,234,55
1,1,0,0,58,1191,78
0,2,1,0,41,1696,878
0,1,0,1,28,5763,196
1,1,0,0,30,671,96
1,0,0,0,49,50,169
1,2,0,1,35,2308,540
1,1,1,0,55,978,259
0,1,0,1,31,-429,292
1,0,1,0,38,0,78
